dispell	무효화
summon nature’s ally iii	3레벨 자연의 동료 소환
nature’s ally iii	3레벨 자연의 동료
summon nature’s ally iv	4레벨 자연의 동료 소환
nature’s ally iv	4레벨 자연의 동료
summon nature’s ally v	5레벨 자연의 동료 소환
nature’s ally v	5레벨 자연의 동료
summon nature’s ally vi	6레벨 자연의 동료 소환
nature’s ally vi	6레벨 자연의 동료
summon nature’s ally vii	7레벨 자연의 동료 소환
nature’s ally vii	7레벨 자연의 동료
summon nature’s ally viii	8레벨 자연의 동료 소환
nature’s ally viii	8레벨 자연의 동료
summon nature’s ally ix	9레벨 자연의 동료 소환
nature’s ally ix	9레벨 자연의 동료
summon swarm	무리 소환
sunbeam	태양광선
sunburst	태양폭발
symbol of death	죽음의 상징
symbol of fear	공포의 상징
symbol of insanity	광기의 상징
symbol of pain	고통의 상징
symbol of persuasion	설득의 상징
symbol of sleep	잠의 상징
symbol of stunning	기절의 상징
symbol of weakness	약화의 상징
sympathetic vibration	공감의 떨림
sympathy	공감
telekinesis	염동력
telekinetic sphere	염동력의 구
telepathic bond	텔레파시 결속
teleport	순간이동
teleport object	물체 순간이동
teleportation circle	순간이동 마법진
temporal stasis	시간 동결
time stop	시간 정지
tiny hut	조그마한 오두막
tongues	통역마법
touch of fatigue	피로의 손길
touch of idiocy	백치의 손길
transformation	변형
transmute metal to wood	금속을 나무로 변성
transmute mud to rock	진흙을 바위로 변성
transmute rock to mud	바위를 진흙으로 변성
transport via plants	식물 경유 공간이동
trap the soul	영혼의 덫
tree shape	나무 변신
tree stride	나무 활보
true resurrection	진정한 부활
true seeing	진실의 시야
true strike	진정한 타격
undeath to death	불사의 끝
undetectable alignment	성향 탐지 방어
unhallow	반신성화
unholy aura	부정의 오라
unholy blight	부정의 마름병
unseen servant	보이지 않는 하인
vampiric touch	흡혈의 손길
veil	가리개
ventriloquism	복화술
virtue	미덕
vision	시야
wail of the banshee	밴시의 통곡
wall of fire	불의 장벽
wall of force	힘의 장벽
wall of ice	얼음 장벽
wall of iron	강철 장벽
wall of stone	암석 장벽
wall of thorns	가시 장벽
warp wood	나무 왜곡
water breathing	수중 호흡
water walk	수면 보행
waves of exhaustion	탈진의 물결
waves of fatigue	피로의 물결
web	거미줄
weird	괴상한 환상
whirlwind	훨윈드
whispering wind	바람의 속삭임
wind walk	바람 보행
wind wall	바람 장벽
wish	소원
wood shape	목재 조형
word of chaos	혼돈의 명령
word of recall	귀환의 명령
zone of silence	침묵의 영역
zone of truth	진실의 영역
magic items	마법 아이템
magic armor	마법 갑옷
magic weapons	마법 무기
potion	물약
ring	반지
rod	마법봉
scroll	두루마리
staff	마법지팡이
wand	마법막대
wondrous item	기타 아이템
intelligent item	지능있는 아이템
cursed items	저주 받은 아이템
body slot affinities	신체부위별 친연성
body slot affinity	신체부위별 친연성
specific armors	특정 갑옷
acid resistance	산 저항
animated	살아 움직임
arrow catching	화살 잡음
arrow deflection	화살 굴절
bashing	밀어냄
blinding	실명시킴
cold resistance	냉기 저항
electricity resistance	전기 저항
fire resistance	불 저항
fortification	인내 강화
ghost touch	유령 접촉
glamered	환영위장됨
invulnerability	흠집내성
reflecting	반사
silent moves	조용한 이동
slick	미끄러움
sonic resistance	음파 저항
undead controlling	언데드 조종
specific shields	특정 방패
banded mail of luck	행운매듭 갑옷
dragonhide plate	드래곤비늘 판금
dwarven plate	드워프 판금
elven chain	엘프 사슬
mithral full plate of speed	미스랄 속도의 판금
mithral shirt	미스랄 조끼
plate armor of the deep	심연의 판금 갑옷
rhino hide	코뿔소 생가죽
absorbing shield	흡수하는 방패
caster’s shield	시전자의 방패
darkwood buckler	어둠나무 버클러
darkwood shield	어둠나무 방패
lion’s shield	사자의 방패
mithral heavy shield	무거운 미스랄 방패
spined shield	척추 방패
winged shield	날개 달린 방패
specific weapons	특정 무기
anarchic	무질서
axiomatic	공리적
brilliant energy	화려한 에너지
disruption	붕괴
flaming	화염
flaming burst	화염 폭발
frost	서리
holy	성스러운
icy burst	얼음 폭발
keen	예리함
ki focus	기 초점
merciful	자비로움
mighty cleaving	힘센 쪼개기
returning	돌아옴
seeking	탐색함
shock	충격
shocking burst	충격 폭발
spell storing	주문 저장
thundering	천둥침
throwing	투척
unholy	부정함
vicious	악의적
vorpal	보팔
wounding	상처냄
adamantine battleaxe	아다만틴 전투도끼
adamantine dagger	아다만틴 단검
assassin’s dagger	암살자의 단검
dagger of venom	독의 단검
dwarven thrower	드워프의 투척무기
flame tongue	화염 혀
frost brand	서리 낙인
holy avenger	성스러운 복수자
javelin of lightning	번개의 투창
life-drinker	생명 흡입 무기
luck blade	행운의 칼날
mace of smiting	처벌의 철퇴
mace of terror	공포의 철퇴
masterwork cold iron longsword	명품 냉철 롱소드
nine lives stealer	아홉 생명 탈취자
oathbow	맹세활
rapier of puncturing	천공의 레이피어
screaming bolt	울부짖는 화살
shatterspike	분쇄가시
shifter’s sorrow	변신자의 슬픔
silver dagger	은제 단검
slaying arrow	도살 화살
sleep arrow	수면 화살
sun blade	태양 칼날
sword of life stealing	생명 탈취의 검
sword of the planes	이세계의 검
sword of subtlety	잠행의 검
scimitar	시미터
sylvan scimitar	삼림 시미터
trident of fish command	수중생물 명령의 삼지창
trident of warning	경고의 삼지창
oil	기름
blinking	점멸
chameleon power	카멜레온 힘
climbing	등반
djinni calling	지니 소환
feather falling	깃털 낙하
force shield	힘의 방패
jumping	도약
mind shielding	정신 방패
shooting star	별똥별
swimming	수영
three wishes	세가지 소원
water walking	물 위를 걸음
wizardry	신기함
x-ray	엑스선
x-ray vision	엑스선 시야
charming	매혹
earth and stone	대지와 암석
illumination	환상
passage	통행
size alteration	크기 변환
swarming insects	벌레 떼 소환
amulet of health	건강의 아뮬렛
amulet of mighty fists	힘쎈 주먹의 아뮬렛
amulet of natural armor	고유 갑옷의 아뮬렛
amulet of the planes	이세계의 아뮬렛
amulet of proof against detection and location	장소와 탐지 방어의 아뮬렛
apparatus of the crab	게의 기관
bag of holding	보관의 가방
bag of tricks	요령의 가방
bead of force	힘의 구슬
monk’s belt	수도사의 허리띠
belt, monk’s	허리띠, 수도사의
belt of dwarvenkind	드워프류의 허리띠
belt of giant strength	거인 근력의 허리띠
blessed book	축복 받은 책
boat, folding	보트, 접이식
boots of elvenkind	엘프류의 장화
boots of levitation	공중부양의 장화
boots of speed	속도의 장화
boots of striding and springing	도약과 활보의 장화
boots of teleportation	순간이동의 장화
boots of the winterlands	겨울땅의 장화
boots, winged	장화, 날개 달린
bottle of air	바람의 병
bowl of commanding water elementals	물의 원소 명령의 통
bracelet of friends	친구의 팔찌
bracers of archery	궁술 팔보호구
bracers of armor	갑옷의 팔보호구
brazier of commanding fire elementals	불의 원소 명령의 화로
brooch of shielding	보호의 브로치
broom of flying	날으는 빗자루
candle of invocation	기도의 양초
candle of truth	진실의 양초
cape of the mountebank	협잡꾼의 어깨 망토
carpet of flying	날으는 카페트
censer of controlling air elementals	바람 원소 조종의 향로
chaos diamond	혼돈의 다이아몬드
chime of interruption	방해의 종
chime of opening	문 여는 종
circlet of blasting	폭발의 관
circlet of persuasion	설득의 관
cloak of arachnida	거미의 망토
cloak of the bat	박쥐의 망토
cloak of charisma	매력의 망토
cloak of displacement, minor	변위의 망토, 하급
cloak of displacement, major	변위의 망토, 상급
cloak of elvenkind	엘프류의 망토
cloak of etherealness	에테리얼화의 망토
cloak of the manta ray	대왕쥐가오리의 망토
cloak of resistance	저항의 망토
crystal ball	결정 구슬
cube of force	힘의 큐브
cube of frost resistance	서리 저항의 큐브
cubic gate	큐브 관문
darkskull	검두개골
decanter of endless water	끝없는 물의 유리병
deck of illusions	환영술 덱
dimensional shackles	차원 족쇄
drums of panic	공황의 북
dust of appearance	출현의 가루
dust of disappearance	소멸의 가루
dust of dryness	건조의 가루
dust of illusion	환영술의 가루
dust of tracelessness	무자취의 가루
efficient quiver	효율적인 화살통
efreeti bottle	이프리티 병
elemental gem	원소석
elixir of fire breath	불 숨결의 엘릭서
elixir of hiding	숨기의 엘릭서
elixir of love	사랑의 엘릭서
elixir of sneaking	은신의 엘릭서
elixir of swimming	수영의 엘릭서
elixir of truth	진실의 엘릭서
elixir of vision	시야의 엘릭서
eversmoking bottle	끝없이 연기나는 병
eyes of charming	매혹의 눈
eyes of doom	파멸의 눈
eyes of the eagle	독수리의 눈
eyes of petrification	석화의 눈
figurines of wondrous power	경이로운 힘의 조각상
bronze griffon	청동 그리폰
ebony fly	흑단 파리
golden lions	황금 사자
ivory goats	상아 염소
marble elephant	대리석 코끼리
obsidian steed	흑요석 말
onyx dog	오닉스 개
serpentine owl	사문석 부엉이
silver raven	은 큰까마귀
feather token	깃털 표식
anchor	닻
bird	새
fan	부채
swan boat	백조 배
gauntlets of ogre power	오우거 힘의 건틀릿
gauntlet of rust	부식의 건틀릿
gem of brightness	밝음의 돌
gem of seeing	시야의 돌
gloves of arrow snaring	화살 올가미 장갑
gloves of dexterity	민첩의 장갑
glove of storing	보관의 장갑
gloves of swimming and climbing	수영과 등반의 장갑
goggles of minute seeing	일분시야 보호경
goggles of night	밤의 보호경
golem manual	골렘 사용설명서
clay golem manual	진흙 골렘 사용설명서
flesh golem manual	살덩이 골렘 사용설명서
iron golem manual	강철 골렘 사용설명서
stone golem manual	돌 골렘 사용설명서
hand of glory	영광의 손
hand of the mage	대마법사의 손
handy haversack	간편한 잡낭
harp of charming	매혹의 하프
hat of disguise	변장 모자
headband of intellect	지능의 머리띠
helm of brilliance	화려함의 투구
helm of comprehend languages and read magic	언어 이해와 마법 읽기의 투구
helm of telepathy	정신감응의 투구
helm of teleportation	순간이동의 투구
helm of underwater action	수중 행동의 투구
horn of blasting	폭발의 뿔
horn of fog	안개의 뿔
horn of goodness/evil	선/악의 뿔
horn of goodness	선의 뿔
horn of evil	악의 뿔
horn of the tritons	해신의 뿔
horn of valhalla	발할라의 뿔
horseshoes of speed	속도의 편자
horseshoes of a zephyr	산들바람 편자
incense of meditation	명상의 향료
instant fortress	즉석 요새
ioun stones	아이운의 돌
iron bands of binding	결속의 철띠덩어리
iron flask	철 플라스크
lantern of revealing	노출의 등불
lens of detection	탐지의 렌즈
lyre of building	건설의 리라
mantle of faith	신뢰의 어깨덧옷
mantle of spell resistance	주문 저항의 어깨덧옷
manual of bodily health	신체건강 설명서
manual of gainful exercise	유익한 운동 설명서
manual of quickness of action	행동을 빨리하는 방법 설명서
marvelous pigments	놀라운 안료
mask of the skull	해골 가면
mattock of the titans	타이탄의 곡갱이
maul of the titans	타이탄의 망치
medallion of thoughts	생각의 메달
mirror of life trapping	생명 함정의 거울
mirror of mental prowess	정신 기량의 거울
mirror of opposition	반대의 거울
necklace of adaptation	적응의 목걸이
necklace of fireballs	화염구 목걸이
orb of storms	폭풍 구슬
pearl of power	힘의 진주
pearl of the sirines	시린의 진주
periapt of health	건강의 호부
periapt of proof against poison	독 방어의 호부
periapt of wisdom	지혜의 호부
periapt of wound closure	상처 봉합 호부
phylactery of faithfulness	신뢰성의 성구함
phylactery of undead turning	언데드 구마의 성구함
pipes of haunting	유령의 파이프
pipes of pain	고통의 파이프
pipes of the sewers	시궁창 파이프
pipes of sounding	소리의 파이프
portable hole	휴대용 구멍
restorative ointment	복원 연고
ring gates	반지 관문
robe of the archmagi	대마법사 로브
robe of blending	혼합의 로브
robe of bones	뼈의 로브
robe of eyes	눈의 로브
robe of scintillating colors	눈부신 색의 로브
robe of stars	별의 로브
robe of useful items	유용품의 로브
rope of climbing	등반의 밧줄
rope of entanglement	얽힘의 밧줄
salve of slipperiness	미끄러움 연고
scabbard of keen edges	예리한 칼날의 칼집
scarab of protection	보호의 풍뎅이
scarab, golembane	풍뎅이, 골렘파멸
shrouds of disintegration	붕괴의 수의
silversheen	은제 광휘
slippers of spider climbing	거미 등반의 슬리퍼
sovereign glue	최고존엄 접착제
stone of alarm	알람의 돌
stone of controlling earth elementals	대지 원소 조종의 돌
stone of good luck	행운의 돌
luckstone	행운석
stone horse	석마
courser	준마
destrier	군마
stone salve	돌 연고
strand of prayer beads	기도 염주의 끈
sustaining spoon	기운의 숟가락
tome of clear thought	명확한 생각의 고서
tome of leadership and influence	리더십과 영향의 고서
tome of understanding	이해의 고서
unguent of timelessness	시간초월 연고
universal solvent	범용 용매제
vest of escape	탈출의 조끼
vestment, druid’s	제의, 드루이드의
druid’s vestment	드루이드의 제의
well of many worlds	다세계의 샘
wind fan	바람 부채
wings of flying	날으는 날개
item ego	아이템 에고
amulet of inescapable location	탈출불가장소의 아뮬렛
armor of arrow attraction	화살 끌림의 갑옷
armor of rage	격노의 갑옷
bag of devouring	포식의 가방
boots of dancing	춤의 장화
bracers of defenselessness	무방비의 팔보호구
broom of animated attack	살아 움직임 공격의 빗자루
cloak of poisonousness	독 망토
crystal hypnosis ball	최면 유리 구슬
dust of sneezing and choking	재채기와 질식의 가루
flask of curses	저주의 플라스크
gauntlets of fumbling	더듬거리는 건틀릿
helm of opposite alignment	반대 성향의 헬멧
incense of obsession	집착의 향료
mace of blood	피의 철퇴
medallion of thought projection	생각 투사의 메달
necklace of strangulation	교살의 목걸이
net of snaring	옭아매는 그물
periapt of foul rotting	더러운 썩음의 호부
potion of poison	독의 물약
robe of powerlessness	무기력의 로브
robe of vermin	해충의 로브
ring of clumsiness	어눌함 반지
scarab of death	죽음의 풍뎅이
spear, cursed backbiter	창, 저주받은 험담꾼의
cursed backbiter spear	저주받은 험담꾼의 창
stone of weight	무게의 돌
loadstone	짐돌
–2 sword, cursed	–2 검, 저주 받은
cursed –2 sword	저주 받은 –2 검
–2 cursed sword	–2 저주 받은 검
sword, berserking	검, 광분의
berserking sword	광분의 검
vacuous grimoire	공허 마법서
artifact	유물
book of infinite spells	무한 주문의 책
deck of many things	많은 것들의 덱
comet	혜성
donjon	아성
euryale	에우리알레
fool	광대
gem	보석
idiot	백치
jester	어릿광대
knight	기사
skull	해골
talons	발톱
throne	왕좌
vizier	고관
the void	공허
hammer of thunderbolts	벼락 망치
philosopher’s stone	철학자의 돌
sphere of annihilation	소멸의 구
staff of the magi	동방박사의 지팡이
talisman of pure good	순수 선의 부적
talisman of the sphere	구의 부적
talisman of reluctant wishes	불편한 소원의 부적
talisman of ultimate evil	궁극 악의 부적
the moaning diamond	신음하는 다이아몬드
the orbs of dragonkind	드래곤류의 구슬
the saint’s mace	성인의 철퇴
the shadowstaff	그림자 지팡이
monster	몬스터
statistics block	수치 표
size and type	크기와 유형
hit dice	히트 다이스
base attack/grapple	기본 공격/그래플
manufactured weapons	기성 무기
space/reach	공간범위/도달범위
special qualities	특성
special attacks and special qualities	특수 공격과 특성
saves	내성 굴림
nonabilities	비능력
natural tendencies	자연적 성향
environment	환경
organization	집단
challenge rating	도전 지수
advancement	성장
level adjustment	레벨 보정
aboleth	아볼레스
aboleth mage	아볼레스 마법사
achaierai	아체라이
allip	알립
angel	천사
astral deva	영적 데바
planetar	플레인타르
solar	솔라
animated object	살아 움직이는 물체
ankheg	앙크헤그
aranea	아라니아
lantern archon	등불 아콘
hound archon	사냥개 아콘
hound archon hero	사냥개 아콘 영웅
hound archon hero mounts	사냥개 아콘 영웅의 탈것
trumpet archon	트럼펫 아콘
arrowhawk	애로우호크
assassin vine	암살자 포도나무
athach	아타치
avoral	아보랄
azer	애이저
barghest	바게스트
basilisk	바실리스크
abyssal greater basilisk	심연의 최상급 바실리스크
behir	베히어
belker	벨커
blink dog	점멸하는 개
bodak	보닥
bralani	브랠라니
bugbear	버그베어
bulette	불레
celestial	천상계
celestial creature	천상계 생물체
centaur	켄타우로스
chaos beast	혼돈 야수
chimera	키메라
choker	초커
chuul	추얼
cloaker	클로커
cockatrice	코카트리스
couatl	코아틀
darkmantle	암흑맨틀
delver	굴삭귀
demon	데몬
babau	바바우
balor	발러
tactics round-by-round	각 라운드별 전술
bebilith	비빌리스
dretch	드레치
glabrezu	글라브레주
hezrou	헤즈루
marilith	마릴리스
nalfeshnee	낼페쉬니
quasit	콰짓
retriever	리트리버
succubus	서큐버스
vrock	브록
derro	데로
destrachan	데스트라찬
devil	악마
barbed devil	가시 돋친 악마
hamatula	하마툴라
bearded devil	턱수염 악마
barbazu	바바주
bone devil	뼈 악마
osyluth	오실루스
chain devil	사슬 악마
kyton	카이톤
erinyes	에리니에스
hellcat	지옥고양이
bezekira	베제키라
horned devil	뿔난 악마
cornugon	코누곤
ice devil	얼음 악마
gelugon	겔루곤
imp	임프
lemure	리뮤어
pit fiend	핏 핀드
devourer	포식귀
digester	소화귀
dinosaur	공룡
deinonychus	데이노니쿠스
elasmosaurus	엘라스모사우루스
megaraptor	메가랍토르
triceratops	트리케라톱스
tyrannosaurus	티라노사우루스
dire animal	흉폭한 동물
dire ape	흉폭한 유인원
dire badger	흉폭한 오소리
dire bat	흉폭한 박쥐
dire bear	흉폭한 곰
dire boar	흉폭한 맷돼지
dire lion	흉폭한 사자
dire rat	흉폭한 시궁쥐
dire shark	흉폭한 상어
dire tiger	흉폭한 호랑이
dire weasel	흉폭한 족제비
dire wolf	흉폭한 늑대
dire wolverine	흉폭한 울버린
doppelganger	도플갱어
dragon, true	진성 드래곤
dragonhide	드래곤비늘
chromatic dragons	오색 드래곤
black dragon	검은 드래곤
dragon	드래곤
(water)	(물속성)
blue dragon	푸른 드래곤
(earth)	(대지속성)
green dragon	초록 드래곤
(air)	(바람속성)
red dragon	붉은 드래곤
(fire)	(불속성)
white dragon	하얀 드래곤
(cold)	(냉기속성)
metallic dragons	금속 드래곤
brass dragon	황동 드래곤
bronze dragon	청동 드래곤
copper dragon	구리 드래곤
gold dragon	금 드래곤
silver dragon	은 드래곤
dragon turtle	드래곤 거북이
dragonne	드래곤느
drider	드라이더
dryad	드라이어드
subraces	하위종족
deep dwarf	지하 드워프
duergar	듀에르가
mountain dwarf	산악 드워프
eagle, giant	독수리, 거대
training a giant eagle	거대 독수리 훈련
elemental	원소
air elemental	바람 원소
earth elemental	대지 원소
fire elemental	불의 원소
water elemental	물의 원소
aquatic elf	물의 엘프
drow	암흑 엘프
gray elf	회색 엘프
wild elf	야생 엘프
wood elf	나무 엘프
ethereal filcher	에테리얼 좀도둑
ethereal marauder	에테리얼 약탈자
ettercap	에터캡
ettin	에틴
fiendish creature	핀드 생명체
formian	포미안
worker	일꾼
taskmaster	감독관
myrmarch	미어마치
queen	여왕
frost worm	서리 벌레
fungus	버섯
shrieker	비명 버섯
violet fungus	보랏빛 버섯
gargoyle	가고일
kapoacinth	카포아신스
genie	지니
djinni	지니
noble djinn	고귀한 진
efreeti	이프리티
janni	자니
ghaele	게일
ghost	유령
ghostly equipment	유령 장비
ghoul	구울
lacedon	라세단
ghast	개스트
giant	거인
cloud giant	구름 거인
fire giant	화염 거인
frost giant	서리 거인
frost giant jarl	서리 거인 족장
hill giant	언덕 거인
stone giant	암석 거인
stone giant elders	암석 거인 장로
storm giant	폭풍 거인
gibbering mouther	횡설수설귀
girallon	지랄론
gnoll	놀
svirfneblin	스버프네블린
forest gnome	숲 노움
goblin	고블린
golem	골렘
construction	제작
clay golem	진흙 골렘
flesh golem	살덩이 골렘
iron golem	강철 골렘
stone golem	돌 골렘
gorgon	고르곤
gray render	회색 분쇄자
grick	그릭
griffon	그리폰
training a griffon	그리폰 훈련
grimlock	그림록
hag	노파
annis	아니스
green hag	녹색의 노파
sea hag	바다의 노파
hag covey	노파 무리
hag eye	노파의 눈알
half-celestial	하프 천상계
half-dragon	하프 드래곤
half-fiend	하프 핀드
tallfellow	키큰녀석
deep halfling	지하 하플링
harpy	하피
harpy archer	하피 궁수
hell hound	지옥 사냥개
nessian warhound	네시안 전투사냥개
hippogriff	히포그리프
training a hippogriff	히포그리프 훈련
hobgoblin	홉고블린
homunculus	호문쿨루스
howler	하울러
training a howler	하울러 훈련
hydra	히드라
pyrohydra	파이로히드라
cryohydra	크리오히드라
inevitable	필연적 존재
kolyarut	콜리아루트
marut	마루트
zelekhut	젤레흐트
invisible stalker	투명 추적자
kobold	코볼트
kraken	크라켄
krenshar	크렌샤
lamia	라미아
lammasu	라마수
golden protector	황금 수호자
celestial half-dragon lammasu	천상계 하프 드래곤 라마수
leonal	레오날
lich	리치
the lich’s phylactery	리치의 부적
lillend	릴렌드
lizardfolk	도마뱀인간
locathah	로카타
lycanthrope	라이칸스로프
werebear	곰인간
wereboar	맷돼지인간
wererat	시궁쥐인간
weretiger	호랑이인간
werewolf	늑대인간
werewolf lord	늑대인간 군주
hill giant dire wereboar	언덕 거대 흉폭한 곰인간
lycanthropy	늑대인간화
changing form	형태 변환
curing lycanthropy	늑대인간화 치유
control shape	형태 조종
magmin	마그민
manticore	맨티코어
medusa	메두사
mephit	메피트
air mephit	바람 메피트
dust mephit	먼지 메피트
earth mephit	대지 메피트
fire mephit	불의 메피트
ice mephit	얼음 메피트
magma mephit	마그마 메피트
ooze mephit	습지 메피트
salt mephit	소금 메피트
steam mephit	증기 메피트
water mephit	물의 메피트
merfolk	인어
mimic	따라쟁이
minotaur	미노타우로스
mohrg	모흐그
mummy	미라
mummy lord	미라 군주
naga	나가
dark naga	암흑의 나가
guardian naga	수호의 나가
spirit naga	정기의 나가
water naga	물의 나가
night hag	밤의 노파
heartstone	심장석
cauchemar	코슈마루
nightshade	밤그늘
nightshade abilities	밤그늘 능력
nightcrawler	밤렁이
nightwalker	밤걷는이
nightwing	밤날개
nymph	님프
ogre	오우거
ogre barbarian	오우거 바바리안
merrow	메로우
ogre mage	오우거 마법사
ooze	늪괴물
black pudding	검은 푸딩
elder black pudding	노령의 검은 푸딩
gelatinous cube	젤라틴 큐브
gray ooze	회색 늪괴물
ochre jelly	황토빛 젤리
orc	오크
otyugh	오티우
owl, giant	부엉이, 거대
training a giant owl	거대 부엉이 훈련
owlbear	아울베어
pegasus	페가서스
training a pegasus	페가서스 훈련
phantom fungus	유령 버섯
phase spider	위상 거미
phasm	패이즘
planetouched	이세계 혈통
aasimar	아시마르
tiefling	티플링
pseudodragon	유사드래곤
purple worm	보랏빛 벌레
rakshasa	락샤사
rast	래스트
ravid	래비드
remorhaz	레모라즈
roc	로크
roper	로퍼
rust monster	녹 괴물
sahuagin	사후아긴
sahuagin mutants	사후아긴 변종
salamander	샐러맨더
satyr	사티로스
sea cat	바다 고양이
shadow mastiff	그림자 마스티프
shambling mound	휘청거리는 흙덩이
shield guardian	방패 수호자
amulet	아뮬렛
shocker lizard	전기 도마뱀
skeleton	스켈레톤
skum	스컴
spectre	영혼
sphinx	스핑크스
androsphinx	안드로스핑크스
criosphinx	크리오스핑크스
gynosphinx	지노스핑크스
hieracosphinx	히어라코스핑크스
spider eater	거미 포식자
training a spider eater	거미 포식자 훈련
sprite	요마
grig	그리그
nixie	닉시
pixie	픽시
stirge	스터지
swarm	무리 떼
vulnerabilities of swarms	무리의 취약성
bat swarm	박쥐 떼
centipede swarm	지네 떼
hellwasp swarm	지옥말벌 떼
locust swarm	메뚜기 떼
rat swarm	시궁쥐 떼
spider swarm	거미 떼
tarrasque	불가사리
tendriculos	텐드리쿨로스
thoqqua	타쿠아
titan	타이탄
tojanida	토자니다
treant	나무정령
triton	해신
troglodyte	트로글로다이트
troll	트롤
scrag	칼날손톱
troll hunter	트롤 사냥꾼
unicorn	유니콘
celestial charger	천상계 돌격마
vampire	뱀파이어
vampire weaknesses	뱀파이어의 약점
vampire spawn	뱀파이어 스폰
vampire spawn weaknesses	뱀파이어 스폰 약점
vargouille	바구일
wight	시귀
will-o’-wisp	도깨비불
winter wolf	겨울 늑대
worg	검은 늑대
wraith	망령
dread wraith	공포의 망령
wyvern	와이번
xill	질
xorn	조른
yeth hound	이에스 사냥개
yrthak	이르삭
zombie	좀비
ape	유인원
baboon	개코원숭이
badger	오소리
bat	박쥐
bear, black	곰, 흑곰
bear, brown	곰, 불곰
bear, polar	곰, 백곰
bison	들소
boar	맷돼지
camel	낙타
cat	고양이
cheetah	치타
crocodile	악어
crocodile, giant	악어, 거대
dog	개
dog, riding	개, 탈것
donkey	당나귀
eagle	독수리
elephant	코끼리
hawk	매
horse	말
hyena	하이에나
leopard	표범
lion	사자
lizard	도마뱀
lizard, monitor	도마뱀, 왕도마뱀
manta ray	대왕쥐가오리
monkey	원숭이
mule	노새
octopus	문어
octopus, giant	문어, 거대
owl	부엉이
pony	조랑말
pony, war	조랑말, 전투용
porpoise	쇠돌고래
rat	시궁쥐
raven	큰까마귀
rhinoceros	코뿔소
shark	상어
snake	뱀
constrictor snake	보아 뱀
constrictor snake, giant	보아 뱀, 거대
viper snake	독사 뱀
squid	오징어
squid, giant	오징어, 거대
tiger	호랑이
toad	두꺼비
weasel	족제비
whale	고래
wolf	늑대
wolverine	울버린
giant ant	거대 개미
giant bee	거대 꿀벌
giant bombardier beetle	거대 폭탄먼지벌레
giant fire beetle	거대 화염벌레
giant stag beetle	거대 사슴벌레
giant praying mantis	거대 사마귀
giant wasp	거대 장수말벌
monstrous centipede	괴물 지네
monstrous scorpion	괴물 스콜피온
monstrous spider	괴물 거미
class level	직업 레벨
template	템플릿
ability focus	능력 초점
awesome blow	놀라운 일격
craft construct	구조물 제작
empower spell-like ability	유사주문 능력 강화
flyby attack	공중 공격
hover	호버링
natural armor	고유 갑옷
natural attack	고유 공격
multiattack	다중공격
multiweapon fighting	다중무기 공격
quicken spell-like ability	빠른 유사주문 능력
snatch	잡아채기
wingover	급회전 기동
psionic	사이오닉
power	파워
manifest	구현
manifester	구현자
revivif cation	소생
revivification	소생
psionic malady	사이오닉 질병
psionic maladies	사이오닉 질병
ability burn	능력 화재
cascade flu	폭포 독감
cerebral parasites	뇌 기생충
discipline	분야
subdiscipline	하위분야
clairsentience	초감각
metacreativity	재귀창조
psychokinesis	염동력
psychometabolism	정신적대사작용
psychoportation	시공간초월
teleportation	순간이동
telepathy	정신감응
display	표출요소
auditory	청각적
mental	정신적
olfactory	후각적
visual	시각적
manifesting time	구현 시간
swift action	날랜 행동
immediate action	즉각 행동
dismissible	해제가능
aiming a power	파워 조준
power resistance	파워 저항
power point	파워 포인트
psionic race	사이오닉 종족
dromites	드로마이트
elans	엘란
half-giants	하프자이언트
maenads	매나드
xephs	제프
psionic class	사이오닉 직업
random starting gold	임의 시작 골드
psion	사이온
egoist	에고이스트
kineticist	염동력자
nomad	유목민
seer	예언가
shaper	조형가
personality	성격
self-propulsion	자기추진
share powers	파워 공유
sighted	시야 감지
telepathic link	텔레파시 연결
deliver touch powers	접촉 파워 전달
telepathic speech	텔레파시 말하기
sight link	시야 연결
channel power	파워 채널링
telepath	정신감응가
psychic warrior	초자연 군인
soulknife	영혼칼날
mind blade	정신칼날
throw mind blade 	정신칼날 투척
psychic strike	초자연적 공격
free draw	정신칼날 순간 뽑기
shape mind blade	정신칼날 조형
mind blade enhancement	정신칼날 강화
bladewind	칼날바람
knife to the soul	영혼 칼질
multiple throw	다중 투척
wilder	야생인
wild surge	야생의 격정
psychic enervation	초자연적 쇠약
elude touch	접촉 피하기
surging euphoria	격정적인 희열
volatile mind	휘발성 정신
psionic prestige classes	사이오닉 상위직
cerebremancer	뇌술사
elocater	이탈자
scorn earth	대지 무시
opportunistic strike	희망주의적 공격
dimension step	차원 걸음
flanker	공격수
transporter	짐꾼
capricious step	변덕스런 걸음
dimension spring attack	차원 탄성 공격
accelerated action	가속화된 행동
psionic fist	사이오닉 주먹
slayer	귀살자
enemy sense	적 감지
brain nausea	두뇌 구역감
lucid buffer	또렷함 완충물
cerebral blind	뇌적 차단
breach power resistance	파워 저항 파괴
cerebral immunity	뇌적 면역
blast feedback	폭발 피드백
metamind	초정신
free manifesting	순간 구현
cognizance psicrystal	인지 정신결정
font of power	파워의 성수반
psion uncarnate	무체 사이온
incorporeal touch	무형 접촉
uncarnate armor	무체 갑옷
shed body	육체 떠나기
incorporeal subtype	무형 하위유형
